designation,ra,dec,j_m
06352410-1035041,98.850426,-10.584493,6.202
06443676-0900497,101.153196,-9.013823,6.386
06410442-0846489,100.268439,-8.780258,6.135
06404215-0901257,100.175666,-9.023806,6.234
06423574-0838282,100.648943,-8.641173,6.134
06404585-0854539,100.191062,-8.914998,6.46
06402168-0954557,100.090363,-9.915478,6.821
06402069-0902279,100.086221,-9.041105,6.828
06392531-0916249,99.855486,-9.273599,6.897
06391081-0904417,99.795046,-9.078271,6.663
06373063-0927458,99.377631,-9.462734,6.545
06370569-0931217,99.273744,-9.522695,6.846
06381476-0935262,99.561517,-9.590628,6.234
06404848-0124172,100.202025,-1.404778,6.695
06424902-0047081,100.704291,-0.78561,6.184
06365770-0204256,99.240448,-2.073781,5.861
06365311-0207407,99.22131,-2.127985,6.827
06450335-0249286,101.263995,-2.824618,6.787
06431386-0245050,100.807753,-2.751407,5.685
06433904-0221433,100.912673,-2.362048,6.953
06412329-0220597,100.347073,-2.349936,6.665
06395462-0145514,99.977584,-1.764283,6.986
06411876-0204555,100.328179,-2.082092,6.374
06244740-0530130,96.197507,-5.503616,6.788
06275447-0422201,96.976964,-4.37226,6.648
06275335-0446336,96.9723,-4.776021,6.649
06275757-0445435,96.98988,-4.762106,5.459
06340757-0538028,98.531556,-5.634132,6.967
06290465-0534203,97.269415,-5.572315,6.258
06303595-0514032,97.649802,-5.234236,6.211
06302192-0349597,97.591369,-3.833275,6.822
06325840-0349123,98.243351,-3.820085,5.802
06284523-0436333,97.188461,-4.609275,6.839
06453944-0516467,101.414335,-5.279646,6.804
06432420-0543013,100.850849,-5.717033,6.337
06434937-0532097,100.955745,-5.536035,6.509
06435754-0447183,100.989784,-4.788436,6.991
06405352-0532014,100.223007,-5.533747,6.626
06421300-0522269,100.554205,-5.374141,5.853
06431063-0503479,100.7943,-5.063325,6.242
06424210-0415361,100.675456,-4.260051,6.436
06421478-0358319,100.561616,-3.975533,5.62
06415404-0403040,100.475195,-4.051129,6.609
06445220-0400346,101.217514,-4.009625,6.817
06443077-0405294,101.128249,-4.091523,6.938
06424745-0408271,100.697738,-4.140882,5.726
06361534-0518182,99.063917,-5.305076,6.887
06363534-0512402,99.147257,-5.211171,5.604
06384802-0527508,99.700085,-5.464132,6.867
06374609-0501057,99.442063,-5.018253,6.901
06433800-0426198,100.908357,-4.438855,6.898
06430705-0446183,100.779391,-4.771768,6.967
06432503-0432121,100.854316,-4.5367,6.889
06420322-0453572,100.513455,-4.899245,6.966
06422144-0436579,100.589337,-4.616106,6.651
06381102-0425251,99.545928,-4.423663,6.859
06345248-0440514,98.71869,-4.680953,5.733
06365813-0426276,99.242247,-4.441026,6.315
06430102-0253192,100.75426,-2.888668,6.706
06412224-0301225,100.342669,-3.022925,6.397
06410225-0254359,100.259379,-2.909982,6.971
06405692-0340110,100.23719,-3.669724,6.486
06422911-0318182,100.621326,-3.305058,6.267
06413435-0308122,100.393154,-3.136728,5.714
06421492-0303598,100.5622,-3.066616,6.896
06342049-0254204,98.585387,-2.905685,6.811
06341957-0325378,98.581562,-3.427176,6.674
11115945-0047018,167.997709,-0.783854,6.755
11114063-0106059,167.919323,-1.101665,6.646
10572127-0010041,164.338666,-0.167824,6.149
10570795-0018431,164.28314,-0.311978,6.048
11025794-0238072,165.741435,-2.635342,5.514
11023317-0005369,165.638239,-0.093606,6.579
11032129-0055316,165.838728,-0.925468,6.923
11132487-0526484,168.353653,-5.446787,6.244
11124640-0507011,168.193367,-5.116973,5.578
11071839-0323296,166.826636,-3.391578,6.124
11092020-0404157,167.334186,-4.071053,6.755
11115353-0352201,167.973061,-3.872251,6.978
11044445-0230475,166.185221,-2.513216,6.607
11033087-0129079,165.878663,-1.485545,6.903
11112400-0227013,167.850003,-2.450386,6.545
11041923-0116416,166.080134,-1.27824,6.73
11044788-0057178,166.199534,-0.954961,6.93
11085352-0243047,167.223006,-2.717996,6.447
11082937-0204055,167.122412,-2.068202,5.831
11031973-0303428,165.832222,-3.061896,6.887
11044148-0413159,166.172845,-4.221107,6.302
11025950-0457424,165.747936,-4.961803,6.035
11042525-0523239,166.105249,-5.389973,5.839
10524694-0110466,163.195624,-1.179615,6.647
11012015-0227441,165.333984,-2.462254,6.1
10585009-0214103,164.70872,-2.236199,5.957
10560519-0137049,164.021629,-1.618037,6.785
10554339-0533056,163.930799,-5.551563,6.985
10524911-0355018,163.204626,-3.917173,6.052
10585340-0440406,164.722516,-4.677963,5.531
11000202-0328162,165.008423,-3.471187,6.206
11002566-0355031,165.10692,-3.917547,6.535
10581230-0329049,164.55125,-3.484696,5.906
11575548-2119369,179.481183,-21.326939,6.772
11564064-1947155,179.16937,-19.787649,6.621
11590999-2021129,179.79163,-20.353601,6.212
11560095-1709029,179.003989,-17.150812,5.18
11525654-1803579,178.235585,-18.066099,5.941
11532717-1701358,178.363239,-17.026636,6.126
11534712-1724403,178.446356,-17.411213,6.859
11570785-1822579,179.282727,-18.38275,5.99
11575275-1858557,179.46981,-18.982153,5.814
11474543-1924037,176.939324,-19.401043,6.909
11472545-1855596,176.856077,-18.933235,6.404
11435540-1833457,175.980854,-18.562702,6.616
11430626-1711195,175.776086,-17.188768,6.748
11493813-1736565,177.408914,-17.615709,6.304
11514182-1810359,177.924279,-18.176643,6.491
11502907-1744246,177.621138,-17.740185,6.81
11502792-1940577,177.616362,-19.682707,6.932
11521220-1912222,178.050847,-19.206194,6.848
11513779-1910279,177.907495,-19.174442,6.226
11524294-1911268,178.178918,-19.190788,5.659
11511388-1858573,177.807845,-18.982594,6.693
11513676-1847312,177.903176,-18.792021,6.652
11592972-1136179,179.87386,-11.604973,6.512
11581557-1200130,179.564896,-12.003626,6.564
11572316-1148153,179.346507,-11.804269,6.141
11594664-1314529,179.944345,-13.248036,6.085
11544964-1244514,178.706841,-12.747616,6.978
11551676-1219199,178.819861,-12.322217,6.455
11565559-1206284,179.23165,-12.107899,6.269
11422501-1131047,175.604228,-11.517978,6.808
11470386-1149267,176.766111,-11.824088,6.892
11423977-1133481,175.665725,-11.563385,6.1
11423030-1210591,175.62626,-12.183105,6.971
11573737-1617159,179.405726,-16.287762,6.992
11592540-1603064,179.855873,-16.051802,6.589
11583357-1507009,179.639912,-15.11694,6.746
11524587-1450312,178.191131,-14.84202,6.051
11562981-1442072,179.124214,-14.702012,6.602
11522707-1407390,178.112826,-14.127512,6.631
11500592-1326240,177.524671,-13.440021,6.52
11510295-1341342,177.76232,-13.692835,6.056
11565622-1345162,179.234268,-13.75451,5.565
11512190-1211163,177.841281,-12.187876,5.596
11240218-1322275,171.009092,-13.374322,6.361
11215851-1312387,170.493796,-13.210758,6.201
11234839-1334342,170.951634,-13.576176,6.908
11241950-1140144,171.081282,-11.670687,6.398
11232311-1205580,170.846315,-12.099467,6.118
11213098-1241549,170.379104,-12.698588,6.907
11354274-1547568,173.928103,-15.799122,6.716
11353144-1440564,173.881016,-14.682337,5.91
11262647-1425189,171.610298,-14.421927,5.852
11361096-1130521,174.045698,-11.514497,6.872
11305949-1128030,172.747877,-11.467513,6.227
11353288-1224400,173.887013,-12.411132,6.24
11345488-1205147,173.728686,-12.087421,5.401
11284094-1218296,172.170607,-12.308243,6.292
11342797-1348263,173.616557,-13.807306,6.179
11303876-1303009,172.661526,-13.050257,6.322
11250211-1232499,171.258825,-12.547197,6.746
11273023-1226093,171.875977,-12.435926,6.192
11252607-1210018,171.358654,-12.167176,6.25
11433416-1401124,175.892354,-14.020138,6.896
11390599-1324529,174.774984,-13.414711,6.859
11362872-1651002,174.1197,-16.850079,6.071
11420257-1700596,175.510725,-17.016571,6.629
11425964-1623593,175.748534,-16.399824,6.697
11485140-1533061,177.2142,-15.551714,6.704
11390421-1451470,174.767583,-14.863082,6.657
11395112-1428067,174.963028,-14.468536,6.161
11392321-1453240,174.846731,-14.89,6.772
11440410-1527210,176.017096,-15.455843,6.516
11433068-1502341,175.877868,-15.042832,6.964
11173492-1106073,169.395515,-11.102036,6.909
11135365-1016102,168.473542,-10.269525,6.272
11203627-1035135,170.151141,-10.587095,6.123
12341528-2417128,188.563679,-24.286907,6.454
12274015-2443383,186.917327,-24.727306,5.495
12311389-2750374,187.807911,-27.843735,6.736
12384974-2631081,189.707269,-26.518936,6.83
12341340-2710525,188.555842,-27.181274,6.474
12341938-2656591,188.580786,-26.949764,6.445
12374157-2531449,189.423249,-25.529158,6.995
12383508-2529007,189.64618,-25.483551,5.767
12371416-2601071,189.309014,-26.018644,5.919
12384868-2350034,189.702857,-23.834295,6.895
12371171-2453328,189.298793,-24.892467,5.673
12343381-2541491,188.64089,-25.696983,6.801
12272639-2842584,186.859967,-28.716236,6.727
12270709-2742079,186.779571,-27.702213,6.508
12254003-2825067,186.416802,-28.418541,6.396
12250058-2632233,186.25244,-26.539825,6.08
12253611-2648411,186.400479,-26.811438,6.722
12263812-2711019,186.65884,-27.183882,6.39
12195963-2831319,184.998492,-28.52553,6.78
12192979-2801007,184.87413,-28.016874,6.701
12174703-2816170,184.445964,-28.27141,5.999
12224286-2745430,185.678584,-27.761971,6.973
12244956-2350076,186.206509,-23.835451,6.771
12261942-2416199,186.580918,-24.272196,6.921
12251757-2423288,186.323242,-24.391354,6.423
12164390-2516117,184.182942,-25.26993,6.685
12251404-2559114,186.308529,-25.986504,6.051
12220096-2554480,185.504025,-25.913336,6.658
12222168-2511465,185.590374,-25.19627,6.365
12071993-2723253,181.833048,-27.390368,6.883
12083005-2801203,182.125228,-28.02231,6.229
12141831-2607394,183.576295,-26.12763,6.402
12144740-2618068,183.697526,-26.301903,6.796
12134065-2719161,183.419402,-27.321142,6.889
12161399-2726056,184.058305,-27.434889,5.749
12205278-2638142,185.219958,-26.637287,6.806
12165169-2635543,184.215387,-26.598438,5.58
12170286-2702321,184.261937,-27.042265,6.875
12502905-2502545,192.621068,-25.048479,5.949
12515887-2442258,192.995299,-24.70717,6.17
12492540-2517468,192.355864,-25.296354,6.851
12334906-2836439,188.454432,-28.612215,6.359
12340168-2811470,188.507003,-28.196392,6.415
12394697-2654446,189.945711,-26.912399,6.815
12535325-2918293,193.47189,-29.308142,5.979
12543511-2926171,193.6463,-29.438089,6.478
12523640-2929383,193.151676,-29.493977,6.428
12534266-2724154,193.427772,-27.404287,6.693
12495583-2745270,192.482641,-27.757505,6.947
12504147-2751001,192.672826,-27.85004,5.736
12451637-2845576,191.318246,-28.766026,6.385
12465143-2859075,191.714327,-28.985432,6.678
12493541-2852543,192.397542,-28.881775,6.664
12520443-2843491,193.018491,-28.730326,6.069
12415207-2859241,190.466973,-28.990042,6.236
12515793-2644179,192.991405,-26.738325,5.571
12404390-2649507,190.182933,-26.830759,6.936
12045194-3350152,181.216439,-33.83757,6.696
12060519-3257402,181.521635,-32.961182,5.49
12144248-3401374,183.677021,-34.027073,6.317
12135239-3409025,183.468299,-34.1507,6.74
12142970-3340484,183.62377,-33.680122,6.648
12133681-3347348,183.403413,-33.793003,6.139
12141808-3346449,183.57537,-33.779148,6.924
12122880-3324181,183.120028,-33.405029,6.817
12125862-3324142,183.244255,-33.403965,6.189
12131747-3318237,183.322808,-33.306587,6.931
12105248-3328053,182.718704,-33.468151,5.962
12140105-3223131,183.504375,-32.386986,6.046
12122393-3204425,183.09974,-32.078499,6.485
12090748-3337208,182.281201,-33.622452,6.219
12283674-3434474,187.153095,-34.579845,6.169
12245851-3420035,186.24383,-34.334328,6.667
12280977-3314296,187.040713,-33.241558,6.115
12272250-3246376,186.843777,-32.777126,6.035
12265168-3249484,186.715374,-32.830112,5.478
12161813-3414562,184.07556,-34.248955,6.419
12212940-3421049,185.372504,-34.351364,6.04
12221675-3417286,185.569827,-34.291286,5.924
12225141-3359407,185.714224,-33.994659,6.355
12235411-3009367,185.975481,-30.160196,6.701
12272784-2946592,186.866033,-29.783134,6.504
12252801-3016470,186.366738,-30.279728,6.766
12243814-3014044,186.158957,-30.234568,6.412
12252579-3001302,186.357497,-30.025068,6.593
12155882-3106388,183.99511,-31.110788,6.73
12182453-3129429,184.602216,-31.495266,6.531
12260052-3146170,186.502186,-31.771395,6.467
12243539-3114141,186.147482,-31.237251,6.416
12252381-3107500,186.349209,-31.130581,6.756
12271429-3119056,186.809558,-31.31823,6.19
12220614-3119224,185.525621,-31.32291,6.506
12250152-3045015,186.256366,-30.750435,6.89
12240208-3030195,186.008674,-30.50544,6.645
12241536-3219474,186.064036,-32.329853,6.253
12145699-3150205,183.737491,-31.839041,6.846
12155773-3146117,183.990572,-31.769938,6.652
12195616-3324506,184.984036,-33.414059,6.214
12185955-3317319,184.748146,-33.292198,6.073
12193212-3235197,184.883861,-32.588833,6.882
12560183-3427269,194.007635,-34.457489,6.856
12565755-3416587,194.239809,-34.282986,6.971
12563210-3507101,194.133791,-35.119492,6.814
12563894-3450233,194.162263,-34.839813,6.22
12554207-3341005,193.925324,-33.683498,6.895
12572808-3309171,194.367036,-33.154751,6.318
12493250-3447280,192.385427,-34.791126,6.66
12525962-3407274,193.248421,-34.124302,6.983
12553245-3004122,193.88521,-30.07008,6.722
19152880+2933428,288.870008,29.561895,6.69
19155828+2907143,288.99286,29.120644,6.345
19153807+2907191,288.908649,29.12199,6.746
19141090+2938293,288.545444,29.641499,6.44
19133259+2905300,288.3858,29.091677,6.226
19140627+2904552,288.526165,29.082006,6.128
19143409+2912369,288.642062,29.21026,6.943
19205603+2737075,290.233497,27.618761,6.371
19211667+2803586,290.319478,28.066278,6.929
19182967+2812482,289.623627,28.213394,6.764
19171632+2846571,289.318005,28.782549,6.721
19195917+2829178,289.996579,28.488283,6.767
19204102+2840154,290.170926,28.670965,6.699
19191973+2905326,289.832238,29.092409,6.765
19184993+2854399,289.708073,28.911102,6.553
19203085+2716188,290.128549,27.271893,6.066
19192240+2733179,289.843361,27.554989,6.916
19162658+2810306,289.11079,28.175179,6.988
19161856+2752174,289.077352,27.871502,6.633
19155025+2749044,288.9594,27.817915,6.497
19163040+2744011,289.126679,27.733665,6.92
19155697+2727210,288.987376,27.455835,6.627
19164269+2709267,289.177903,27.157436,6.687
19165641+2722130,289.235049,27.370281,6.569
19174232+2710171,289.426372,27.171425,6.386
19180890+2729100,289.537112,27.486116,6.146
19100830+2907257,287.534584,29.123833,6.803
19121659+2914332,288.069158,29.242558,5.791
19114583+2917465,287.940981,29.296272,6.652
19111971+2915584,287.832143,29.266232,6.658
19115027+2822308,287.95947,28.375248,6.954
19141798+2841053,288.574953,28.684828,6.1
19125906+2851540,288.246106,28.865019,6.905
19141328+2701157,288.555342,27.021034,6.564
19102536+2739243,287.605667,27.656755,6.49
19092071+2751161,287.336333,27.854473,6.738
19114867+2725261,287.952815,27.423939,6.922
19111704+2709358,287.821004,27.159967,6.87
19132081+2810475,288.336725,28.179876,6.821
19140422+2813540,288.517621,28.231682,6.292
19141159+2813118,288.548297,28.21995,6.777
19145885+2757400,288.745215,27.961117,6.942
19145910+2809140,288.746263,28.153906,6.912
19132166+2758529,288.340266,27.981367,6.358
19135286+2753061,288.470263,27.885042,6.248
18530641+2432503,283.276717,24.547323,6.966
18530099+2433508,283.254166,24.564137,6.966
18513474+2510244,282.894762,25.173462,6.959
18491428+2502475,282.309525,25.046535,6.565
18501335+2506370,282.555662,25.110298,6.422
18503434+2435061,282.643101,24.585049,6.908
18530065+2615120,283.25272,26.25334,6.177
18532025+2522328,283.334392,25.375778,5.732
18533934+2543305,283.413943,25.72514,6.662
18521492+2601348,283.062168,26.02636,6.187
18453330+2529449,281.38877,25.495817,6.701
18464979+2537357,281.707488,25.626593,5.986
18465782+2603080,281.740948,26.052225,6.908
18441660+2624309,281.069201,26.408611,6.986
18441440+2613516,281.060023,26.231012,6.323
18453022+2611193,281.375921,26.188705,6.85
18481882+2602501,282.078417,26.04727,6.466
18485578+2528476,282.232456,25.47991,6.868
18472628+2541404,281.859535,25.694569,6.6
18514459+2523435,282.935806,25.395432,5.514
18514911+2522437,282.954657,25.378811,6.585
18515442+2914183,282.976784,29.238426,6.796
18440922+2913536,281.038431,29.231575,6.127
18473841+2837287,281.910044,28.624664,6.926
18474499+2838376,281.937483,28.643805,5.489
18520699+2715370,283.029162,27.2603,6.893
18505067+2743501,282.711133,27.730595,6.13
18482648+2808120,282.11036,28.136688,7.0
18500331+2807295,282.513811,28.124866,6.775
18520137+2846087,283.005709,28.769091,6.888
18513013+2839162,282.875572,28.654503,6.412
18284191+2847464,277.174634,28.796225,5.669
18344066+2904480,278.669431,29.080013,6.539
18340772+2840044,278.532168,28.667906,6.815
18315454+2853191,277.977273,28.888659,6.172
18400637+2706092,280.026549,27.102558,6.542
18365356+2714291,279.223184,27.241425,6.632
18370902+2912075,279.28761,29.202105,6.949
18371456+2903254,279.310697,29.057072,5.955
18382245+2841493,279.59357,28.697029,6.714
18401988+2759272,280.082858,27.99091,6.916
18381996+2818120,279.583181,28.303341,6.856
18385993+2757120,279.74972,27.953344,6.85
18365216+2804230,279.217355,28.073078,6.26
18413912+2840202,280.413027,28.672297,6.804
18425495+2838459,280.728979,28.646093,6.749
18434138+2806398,280.92244,28.111067,6.395
18424705+2757271,280.696069,27.957548,6.389
18460344+2819525,281.514353,28.331276,5.987
18442146+2806049,281.089439,28.101387,6.545
18455663+2648198,281.485979,26.805519,6.624
18501047+2709383,282.543647,27.160664,6.985
18444045+2723018,281.168557,27.383856,6.335
18464580+2728489,281.690866,27.480251,5.884
18462938+2720122,281.622442,27.336739,6.506
18470135+2727458,281.755641,27.462748,6.572
18453595+2726387,281.399818,27.444099,6.849
18583012+3507021,284.625507,35.117275,6.962
18583361+3404437,284.640047,34.078823,6.617
18580053+3427425,284.502215,34.461826,6.129
18570270+3455577,284.261279,34.932701,6.705
18570754+3451200,284.281452,34.855572,6.553
18502069+3402352,282.586243,34.043137,6.24
18510122+3423381,282.755104,34.393925,6.686
11155570-1036578,168.982095,-10.616057,5.361
11172445-1052087,169.351882,-10.869111,6.955
11320906-1121476,173.037777,-11.363243,6.76
11261701-0952530,171.570882,-9.881393,5.501
11293772-1003456,172.407186,-10.062671,6.621
11165818-0708047,169.242425,-7.134664,5.779
11223158-0804273,170.631622,-8.074276,6.355
11222871-0850334,170.619661,-8.842637,6.692
11160237-0854002,169.009914,-8.900069,6.013
11201260-0851517,170.052525,-8.864387,6.424
11590881-1107508,179.786731,-11.130781,6.544
11564556-1043288,179.189848,-10.724682,6.561
11490937-0850452,177.289051,-8.845898,6.622
11483087-0922335,177.128651,-9.375994,5.912
11504408-0923508,177.683685,-9.397451,5.965
11501593-1117483,177.5664,-11.296766,6.325
11415268-0656328,175.469535,-6.942455,6.809
11403658-0824203,175.152443,-8.405642,6.457
11382713-1055496,174.613065,-10.930457,6.045
11393952-0927582,174.914698,-9.46617,5.663
11391058-1031421,174.794123,-10.528368,6.94
11384646-1028179,174.693612,-10.471645,5.984
11414462-0904363,175.435945,-9.076764,5.748
11404871-0850483,175.202979,-8.846772,6.159
11473325-1012136,176.888556,-10.203784,6.515
11434693-1004000,175.945578,-10.066694,6.691
11481723-0852279,177.071824,-8.874424,5.821
11425699-0907118,175.737475,-9.119967,5.736
11150420-0058228,168.767535,-0.973012,6.425
11212534-0156017,170.355603,-1.933811,6.634
11220808-0223210,170.533699,-2.389183,6.719
11192265-0139173,169.844402,-1.65482,6.092
11192204-0139198,169.841848,-1.65552,6.628
11152316-0456015,168.846539,-4.933766,6.481
11223628-0516421,170.651168,-5.278364,6.303
11222225-0508515,170.59271,-5.14765,6.453
11163644-0358004,169.151863,-3.966798,6.436
11182197-0504023,169.591557,-5.067331,5.914
11345166-0538588,173.715287,-5.649684,6.664
11344032-0535247,173.668034,-5.590215,6.853
11322389-0537294,173.099556,-5.62484,5.752
11323086-0524040,173.128591,-5.401115,6.61
11342136-0531376,173.589006,-5.527114,6.151
11260024-0409320,171.501038,-4.158898,6.185
11250576-0434501,171.274036,-4.580587,6.898
11233476-0317217,170.894864,-3.289384,6.724
11323263-0548269,173.135961,-5.807498,6.782
11365885-0649048,174.245234,-6.818027,6.956
11351404-0629330,173.80852,-6.492526,6.922
11305102-0643084,172.712591,-6.719016,6.653
11284057-0610575,172.169075,-6.182648,6.243
11333782-0632130,173.407597,-6.53695,5.809
11184392-0654365,169.683019,-6.910157,6.032
11182494-0553463,169.603955,-5.896205,6.464
11250664-0828321,171.277698,-8.475587,6.516
11242499-0815414,171.104157,-8.2615,5.935
11251787-0710528,171.324482,-7.181343,6.95
11242175-0554358,171.09063,-5.90997,5.936
11214689-0543065,170.445379,-5.718477,6.544
11230483-0617191,170.770166,-6.28864,6.261
11361957-0856401,174.081563,-8.944473,6.245
11324469-0856522,173.186242,-8.94785,6.449
11280990-0717535,172.04126,-7.298216,6.344
09014347-0031206,135.431128,-0.522398,5.676
09013558-0000039,135.398271,-0.001106,6.955
09081925-0141009,137.080248,-1.68361,6.499
09092941-0106447,137.372563,-1.112438,6.072
09174333-0534083,139.430573,-5.568997,5.732
09160833-0452008,139.034736,-4.866891,6.861
09175538-0323141,139.480787,-3.387262,6.27
09170990-0332410,139.291276,-3.544726,6.845
09114679-0308367,137.94497,-3.143542,6.54
09144411-0432361,138.683805,-4.543364,5.812
09133997-0353530,138.416543,-3.898062,6.962
09161787-0431598,139.074461,-4.533286,6.597
09164621-0435125,139.192581,-4.586813,5.709
09162610-0424170,139.108768,-4.40474,6.245
09205553-0010154,140.231395,-0.17095,6.992
09195795-0039013,139.991481,-0.650385,6.728
09135260-0011134,138.46918,-0.187061,5.936
09153393-0021159,138.891396,-0.354433,6.071
09154580-0121414,138.940865,-1.361506,6.801
09160804-0057535,139.03354,-0.964869,6.993
09162086-0114013,139.086944,-1.233719,6.754
09181262-0036280,139.552589,-0.607804,5.544
09163498-0241311,139.14575,-2.691976,6.646
09121581-0026084,138.065907,-0.435672,6.505
09124732-0113057,138.197188,-1.218253,6.675
09115728-0112199,137.988705,-1.205551,6.128
09093217-0225581,137.384062,-2.432806,6.955
09115135-0214069,137.963984,-2.235272,6.84
09142510-0255115,138.604587,-2.919883,6.946
09133232-0223345,138.384695,-2.392921,5.936
09145199-0135135,138.716665,-1.587094,6.737
09322559-1111048,143.106626,-11.184678,6.075
09365019-0927104,144.209156,-9.452898,6.95
09282548-0911479,142.106193,-9.196665,5.972
09310212-0949135,142.758855,-9.820437,6.887
09313897-1033071,142.912391,-10.551991,5.579
09340021-1033264,143.500912,-10.557343,6.002
09330882-1007010,143.28675,-10.116955,6.641
09312009-0612379,142.833709,-6.210531,6.777
09364334-0836556,144.180609,-8.615453,6.388
09375509-0819282,144.479579,-8.324502,6.877
09365036-0701553,144.209867,-7.032045,6.351
09264331-0804018,141.68049,-8.067183,6.712
09230845-0742482,140.785236,-7.713407,6.284
09232373-0740174,140.848897,-7.671511,6.356
09252704-0624160,141.362689,-6.404472,6.43
07003037+3629278,105.126579,36.491062,6.73
06592783+3615319,104.865991,36.258862,6.476
07022036+3910096,105.584849,39.169361,6.585
06485386+3730188,102.224422,37.505226,6.866
06503538+3811156,102.647441,38.187687,6.143
06540003+3733211,103.500125,37.555866,6.795
06522200+3724241,103.091674,37.406715,6.491
06535708+3830178,103.487844,38.504963,6.471
06531340+3826166,103.305865,38.437962,5.361
06503123+3720328,102.63015,37.342445,6.719
06561497+3656534,104.062396,36.948181,6.464
06582440+3705250,104.601688,37.090305,6.718
06581653+3708495,104.568894,37.147106,6.694
06582282+3759167,104.595117,37.987988,6.061
07024592+4233504,105.691369,42.564011,6.173
07055038+4226592,106.459938,42.44978,6.841
06530575+4201441,103.273979,42.028942,6.992
06555772+4114431,103.990538,41.245308,6.451
07035837+4034557,105.993224,40.582157,5.316
07012457+4039290,105.352388,40.658081,6.873
06592013+4218531,104.833906,42.314766,6.569
07021840+4151078,105.576705,41.852173,6.416
06595758+4152012,104.989927,41.867016,6.855
06345842+4036406,98.74342,40.611286,6.864
06391432+3942555,99.809669,39.715431,6.345
06402126+4058110,100.088616,40.969727,5.9
06380334+4055458,99.513951,40.929401,6.47
06395507+4032166,99.979472,40.537945,6.796
06383658+4020119,99.652436,40.336639,6.048
06454316+3843481,101.429865,38.730034,6.675
06471275+3935086,101.803141,39.585732,5.741
06450972+3922055,101.290506,39.368217,6.161
06451335+3927473,101.305654,39.463146,6.374
06423439+3853313,100.643316,38.892033,6.288
06444609+3844166,101.192049,38.737949,6.632
06444568+3847389,101.190369,38.794151,6.827
06491633+4124376,102.318075,41.410446,6.966
06484309+4043385,102.179559,40.727379,5.874
06455286+4046102,101.470275,40.76952,5.673
06465630+4110498,101.734624,41.180527,6.305
06411549+4014256,100.314575,40.240471,6.615
06512675+4145583,102.861495,41.766205,5.828
06515091+4134345,102.962126,41.576275,6.872
06552838+4057074,103.868277,40.95208,6.711
06541133+4053240,103.547235,40.890022,6.87
06495744+4101412,102.489345,41.028114,6.813
06513051+4052041,102.877149,40.867825,6.835
06493758+3818501,102.406617,38.313923,6.683
06472388+3832039,101.849532,38.534424,5.971
06521619+3914084,103.067475,39.23568,6.94
06514670+3847157,102.944614,38.787716,6.35
06530141+3852090,103.255888,38.869167,5.314
07031082+3925386,105.795105,39.427399,5.681
07002275+3912511,105.09483,39.214211,6.875
06585747+3946455,104.739468,39.779324,6.743
06561474+4032128,104.061452,40.536915,6.495
06502142+3943302,102.589258,39.725056,6.169
07192078+5129368,109.83661,51.493557,6.803
07140231+5122166,108.509658,51.371292,6.676
07165934+5104442,109.247258,51.07896,6.649
07144229+5141347,108.676211,51.692993,6.864
07021546+5004370,105.564425,50.07695,6.269
07025502+5047223,105.729277,50.789536,6.757
07024528+4957249,105.688667,49.95694,5.926
07081729+5106140,107.072076,51.103901,6.891
07160602+5005291,109.0251,50.091423,6.382
07131742+4955554,108.32259,49.932068,6.973
07110308+4954067,107.762861,49.901886,5.856
06434024+4806478,100.91769,48.113304,6.688
06431940+4924133,100.830849,49.403721,5.622
06440348+4919489,101.014524,49.330261,6.822
06451234+4848571,101.301425,48.815872,6.842
06420741+4839234,100.53091,48.656509,6.388
06512279+4704053,102.84499,47.068165,6.627
06552417+4806573,103.850737,48.11594,6.374
06513242+4722050,102.885111,47.368076,6.651
06492888+4941324,102.370335,49.692348,5.986
06544598+4854184,103.691601,48.905136,6.64
06541727+4912376,103.571994,49.210453,6.52
06530575+4932029,103.273988,49.534145,5.523
06525190+4937320,103.216272,49.625565,5.89
06533702+4828549,103.404274,48.481918,6.769
06500955+4805338,102.539833,48.092739,5.553
06493849+4817014,102.410379,48.283749,5.776
06475167+4839169,101.965308,48.654713,6.249
07064694+4422046,106.695615,44.367966,6.741
07090568+4415355,107.273679,44.259872,6.978
07031397+4445140,105.808234,44.753902,6.614
07133410+4729419,108.392092,47.494976,6.167
07131292+4736247,108.303867,47.606869,6.138
07054863+4711479,106.452633,47.196663,6.003
07072350+4643272,106.847936,46.724239,6.944
06563206+4616264,104.133594,46.274002,5.908
07035900+4702598,105.995851,47.049969,6.057
07052232+4631457,106.34301,46.529362,6.936
07031650+4607127,105.81877,46.120197,6.879
07053531+4600288,106.39713,46.008026,6.521
07110770+4754385,107.782099,47.910709,6.481
07050898+4746301,106.28743,47.775047,6.303
06573024+4911378,104.376029,49.193836,6.456
06573362+4914267,104.390086,49.240765,6.901
07033608+4907184,105.900357,49.121788,6.132
07012599+4853588,105.358293,48.89967,6.422
07034598+4715332,105.941624,47.259228,6.8
07013853+4822439,105.410566,48.378868,6.233
07030495+4426374,105.77065,44.443748,6.336
07005952+4350234,105.24802,43.839851,6.496
07013638+4352325,105.401608,43.875706,6.329
06535804+4613027,103.49184,46.21743,6.042
18254833-6543371,276.451404,-65.726982,6.739
18244088-6525119,276.170349,-65.419998,6.494
18150354-6448568,273.764761,-64.815796,6.099
18150371-6447133,273.765489,-64.787048,6.846
19385245-6303449,294.718547,-63.062485,6.14
